0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:56 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:57 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:57 +0700] "GET /JSP-Servlet/products?lang=fr HTTP/1.1" 200 26979
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:58 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:58 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:59 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:18:59 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:01 +0700] "GET /JSP-Servlet/products?action=edit&id=2 HTTP/1.1" 200 27986
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:07 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:08 +0700] "GET /JSP-Servlet/products?action=edit&id=2 HTTP/1.1" 200 27986
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:16 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:16 +0700] "GET /JSP-Servlet/products?lang=ja HTTP/1.1" 200 27003
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:18 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:18 +0700] "GET /JSP-Servlet/products?lang=fr HTTP/1.1" 200 26979
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:19 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:19 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:21 +0700] "GET /JSP-Servlet/products?lang=fr HTTP/1.1" 200 26979
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:21 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:22 +0700] "GET /JSP-Servlet/products?lang=ja HTTP/1.1" 200 27003
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:23 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:26 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:28 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:28 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:29 +0700] "GET /JSP-Servlet/products?lang=fr HTTP/1.1" 200 26979
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:30 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:31 +0700] "GET /JSP-Servlet/products?action=edit&id=2 HTTP/1.1" 200 27986
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:54 +0700] "GET /JSP-Servlet/products HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:56 +0700] "GET /JSP-Servlet/products?lang=en HTTP/1.1" 200 26967
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:56 +0700] "GET /JSP-Servlet/products?lang=de HTTP/1.1" 200 27083
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:57 +0700] "GET /JSP-Servlet/products?lang=fr HTTP/1.1" 200 26979
0:0:0:0:0:0:0:1 - - [13/Oct/2025:14:19:57 +0700] "GET /JSP-Servlet/products?lang=vi HTTP/1.1" 200 27024
